mfb_name,total_income_2024_ksh_m,Interest and Fee Expense on Deposits,Other Fees and Commissions Expense,Provision for Loan Impairment,Staff Costs,Director's Emoluments,Rental Charges,Depreciation Charges,Amortization Charges,Other Administrative Expense,Non-Operating Expense,total_expenses_2024_ksh_m,net_profit_2024_ksh_m
KENYA WOMEN,3173,1191,12,211,1544,12,267,52,27,1028,0,4344,-1171
FAULU,3350,1694,91,-71,1243,13,122,255,98,633,0,4078,-728
RAFIKI,825,259,10,50,376,8,78,17,2,215,0,1015,-190
SMEP,669,123,0,192,288,5,27,85,8,253,0,981,-312
CARITAS,762,202,1,12,213,14,41,25,4,196,0,708,54
SUMAC,460,122,12,9,81,15,20,10,6,56,0,331,129
LOLC,167,30,0,21,79,0,11,3,0,62,0,206,-39
U & I,398,57,0,17,57,11,1,9,0,12,7,171,227
SALAAM,52,0,0,0,63,3,0,53,13,82,0,214,-162
DARAJA,37,12,0,6,45,0,5,2,0,25,0,95,-58
MAISHA,121,46,0,4,86,0,21,4,5,70,0,236,-115
BRANCH,964,28,45,426,267,3,14,8,0,173,0,964,0
MUUNGANO,107,13,0,5,40,5,1,12,2,37,0,115,-8
CHOICE,155,9,10,5,25,0,4,1,0,34,0,88,67
